timestamp_ms,action,buy_venue,sell_venue,buy_price,sell_price,qty,fee,pnl_net,obi_delta,p_execute,expected_edge_at_signal,adverse_selection_cost,fill_time_mid_a,fill_time_mid_b,signal_time_mid_a,signal_time_mid_b,status,reason,buy_latency_ms,sell_latency_ms,buy_slippage,sell_slippage,regime_vol,regime_spread,split
1709326257531,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.3303714820648684,0.8485084960383921,0.7531000000000495,-0.16079999999994465,62460.005000000005,62551.45,62474.67999999999,62551.45,filled,,49.109787306705826,35.40244535492977,16.07999999999447,0.0,low,tight,train
1709326257534,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.2817670682872837,0.8485084960383921,0.7531000000000495,-0.16079999999994465,62460.005000000005,62551.45,62474.67999999999,62551.45,filled,,76.50583314097874,67.87655246077159,16.07999999999447,0.0,low,tight,train
1709326257541,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.1897500890219712,0.8485084960383921,0.7531000000000495,-0.16079999999994465,62460.005000000005,62551.45,62474.67999999999,62551.45,filled,,29.72462392024667,33.71406332032827,16.07999999999447,0.0,low,tight,train
1709326257547,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.1356886632687435,0.8485084960383921,0.7531000000000495,-0.16079999999994465,62460.005000000005,62551.45,62474.67999999999,62551.45,filled,,34.31212352321127,31.413773093211056,16.07999999999447,0.0,low,tight,train
1709326257651,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.9644200098951548,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,48.53314936532063,45.840581029382975,0.0,0.0,low,tight,train
1709326257655,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.9643496961618565,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,58.46673284337432,34.348715951208305,0.0,0.0,low,tight,train
1709326257657,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.0498255617216046,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,55.592103328772566,41.640631332210205,0.0,0.0,low,tight,train
1709326257670,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.9643496961618565,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,45.86857635405401,39.4230093213757,0.0,0.0,low,tight,train
1709326257674,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.0498255617216046,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,47.68692583166716,37.93884895433607,0.0,0.0,low,tight,train
1709326257677,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.062886374886515,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,48.304907468206764,53.12307136684879,0.0,0.0,low,tight,train
1709326257683,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.9643496961618565,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,41.665382072061945,69.01856851558261,0.0,0.0,low,tight,train
1709326257685,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-0.9442960654144139,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,37.649073861290034,40.77316750355912,0.0,0.0,low,tight,train
1709326257709,BUY_A_SELL_B,binance,kraken,62460.01,62551.4,0.01,0.6250570500000001,0.28884294999999405,-1.000849439503526,0.8485084960383921,0.9138999999999942,0.0,62460.005000000005,62551.45,62460.005000000005,62551.45,filled,,64.48969149367227,55.81577319045574,0.0,0.0,low,tight,train
